month,hjgjhg,jghjhgj,jhgjhg,fhh
1,2/85%,46.084.500,0,-46.084.500
2,4/34%,70.177.800,0,-70.177.800
3,3/87%,62.577.900,0,-62.577.900
4,3/71%,59.990.700,0,-59.990.700
5,3/70%,59.829.000,0,-59.829.000
6,3/70%,59.829.000,0,-59.829.000
7,7/41%,119.819.700,0,-119.819.700
8,7/25%,117.232.500,0,-117.232.500
9,14/02%,226.703.400,0,-226.703.400
10,8/98%,145.206.600,0,-145.206.600
11,6/89%,111.411.300,0,-111.411.300
12,2/52%,40.748.400,0,-40.748.400
13,5/83%,94.271.100,0,-94.271.100
14,1/31%,21.182.700,50.000.000,28.817.300
15,6/28%,101.547.600,50.000.000,-51.547.600
16,2/05%,33.148.500,50.000.000,16.851.500
17,5/83%,94.271.100,50.000.000,-44.271.100
18,0/93%,15.038.100,50.000.000,34.961.900
19,4/83%,78.101.100,50.000.000,-28.101.100
20,0/41%,6.629.700,50.000.000,43.370.300
21,2/06%,33.310.200,50.000.000,16.689.800
22,0/06%,970.200,50.000.000,49.029.800
23,0/61%,9.863.700,50.000.000,40.136.300
24,0/56%,9.055.200,50.000.000,40.944.800
25,0%,0,100.000.000,100.000.000
26,0%,0,100.000.000,100.000.000
27,0%,0,100.000.000,100.000.000
28,0%,0,100.000.000,100.000.000
29,0%,0,100.000.000,100.000.000
30,0%,0,100.000.000,100.000.000
31,0%,0,100.000.000,100.000.000
32,0%,0,100.000.000,100.000.000
33,0%,0,100.000.000,100.000.000
34,0%,0,100.000.000,100.000.000
35,0%,0,100.000.000,100.000.000
36,0%,0,100.000.000,100.000.000
37,0%,0,100.000.000,100.000.000
38,0%,0,100.000.000,100.000.000
39,0%,0,100.000.000,100.000.000
40,0%,0,100.000.000,100.000.000
41,0%,0,100.000.000,100.000.000
42,0%,0,30.000.000,30.000.000
